career_objective,skills,educational_institution_name,degree_names,major_field_of_studies,professional_company_names,start_dates,end_dates,candidate_experience_years,positions,responsibilities,certification_skills,job_position_name,educationaL_requirements,experiencere_requirement,required_experience_years,skills_required,age_requirement,skills_required_data_available,skill_match,required_skill_coverage,experience_fit,education_match,certification_match,project_relevance,semantic_similarity,matched_score
,excellent communication; inspecting; modems; processes; scheduling; team lead; technician; trainer; troubleshooting,['ITT Techinical Institute'],Bachelor of Science,Electronic Engineering Electronics Engineering Field,"['Company Name', 'Company Name', 'Company Name']",10/2000; 08/1999; 08/1998,Current; 09/1999; 08/1999,0.0,Self-Sustaining Engineering Technician; Production Technician; Electronic Technician,"Management Trainee
Mechanical Systems
Maintenance & Troubleshooting
Performance Analysis
Project Support
Process Improvement
Training & Development
Administrative Support",,Management Trainee - Mechanical,Fresh graduates with a Bachelor’s degree in Mechanical Engineering or a related field.,,1.0,computer skill; good communication skills; mechanical engineering; quick learner and hard working,Age at least 22 years,True,0.0909,0.25,0.6225,1.0,0.0,0.129,0.1224,0.3332
,account reconciliation expert; adaptability; communication; complex problem solving; general ledger accounting skills; invoice coding familiarity; organization; periodic financial reporting expert; strong communication skills; time management,"['University of Greenwich', 'Oshwal College']",Bachelor of Arts; Association of Business Executive,Business Studies; Business,['Shantilal Gala & Company'],July 2012,October 2015,3.25,Accountant,"Mushak Forms Maintenance
VAT Software & MS Office Maintenance
VAT Ledger Management
VAT Challan Coordination
Liaison with VAT Office
VAT Documentation
Other Assigned Tasks",,Executive - VAT,BBA in Accounting and Finance,1 to 3 years,1.0,vat and tax,,True,0.0,0.0,0.977,1.0,0.0,0.05,0.4617,0.3221
A highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data analytics where I can utilize my skills and knowledge to contribute for the growth of the organization,algorithms; ann; artificial intelligence; big data; c++; data analysis; data structures; data visualization; deep learning; hadoop; hive; java; linear regression; machine learning; predictive modeling; python; sql; statistical modeling; tableau,['Visveswaraiah Technological University (VTU)'],B.Tech,,['Sahara Medica'],Dec 2019,May 2020,0.42,Intern,"Machine Learning Design
Data Analysis
Model Training
AI Integration
Innovation
Cross-Functional Collaboration
Model Deployment
Documentation
Analytical Skills
Communication
Team Collaboration",,AI Engineer,"Bachelors or Masters degree in Computer Science, Engineering, or a related field.",,1.0,python; pytorch; r or java; scikitlearn.; tensorflow,,True,0.3333,0.4,0.715,1.0,0.0,0.0,0.0875,0.4416
"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialist or related position with a growing organization where my Microsoft certification, technical aptitude, networking, Windows and Mac OS, Apple and Android IOS, web development, application development, Linux, Microsoft applications, managing, testing, client support, help desk, technical support, troubleshooting, and leadership skills can benefit those who I work for as well as myself.",application development; inventory management; management; microsoft applications; network security; networking; oncall tech support; pc hardware and software installation configuration and troubleshooting; programming languages; remote desktop and help desk management; team leadership; technical support; verbal communication; voice over ip telephone; voip tcp/ip ipsec atm ss7 ipx dns bind dhcp hsrp and lan/wan architecture; windows mac os; wiring/wire spicing cat3 cat5 cat5e coaxial,"['Glen Oaks High School', 'Glen Oaks High School']",Bachelor Degree; Associate Degree,Electronics and Communications Engineering Technology; Software Development,"['N/A', 'Company Name', 'Company Name']",August 2006; August 2013; July 2014,January 2013; September 2014; Current,17.01,Engineering Systems Installer; IT Technician/QA Tester; Installation/Service Technician,"iOS Lifecycle
Requirement Analysis
Native Frameworks
iOS Development
API Integration
Technical Communication
UI Design
Performance Optimization
Feature Collaboration
Bug Fixing
Code Translation
High-Performance Development
Task Management
Cross-Team Collaboration
Code Quality",,Senior iOS Engineer,Bachelor of Science (BSc) in Computer Science,At least 4 years,4.0,ios; ios app developer; ios application development; ios development; mobile apps developer ios; native ios; swift ios; swift ui,,True,0.2,0.25,1.0,1.0,0.0,0.0732,0.2044,0.4239
,business strategy; capital markets; consulting; investment banking; investment research; machine learning; matlab; microsoft excel; python; statistics; strategy consulting; vba,"['UNIVERSITY OF DELHI, DELHI']",B.Tech,Computers,"['GDMNS', 'EluCIDATA']",Oct 2019; Jan 2018,Ongoing; Sep 2019,1.66,Strategy Analyst; Data Scientist,"Mikrotik Router Configuration
OLT Device Setup & Management
Integration with Billing Software
Network Monitoring Tools Integration
Connectivity Troubleshooting
Technical Support & Escalation
Installation & Configuration
GPON/EPON Expertise
Cisco, OLT, MikroTik Knowledge",,Network Support Engineer,"Diploma, Bachelor/Honors",At least 3 years,3.0,ccna cisco certified network associate; gpon; hardware networking; iig; isp; it enabled services; olt and onu,Age 25 to 35 years,True,0.0,0.0,0.5399,0.9,0.0,0.122,0.1512,0.2296
To utilize my customer relations and management background to obtain a position with a company that places importance on efficiency and success. Employ natural leadership and interpersonal skills to build relationships throughout the organization.,,['Strayer University'],Bachelor of Science,Accounting,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",August 2015; June 2014; July 2015; June 2007; February 2004; June 2012,Current; August 2015; Current; February 2011; April 2007; November 2016,29.34,Accountant; Director of Finance & Accounts; Training & Operations Consultant; Franchisee; General Manager; Patient Service Representative,"Full Stack Development
Front-end: ReactJS, NextJS
Backend: Python, Django
API Design
Server-Side Logic
DRF (Django REST Framework)
Database Management (PostgreSQL, MySQL)
Version Control (Git)
AWS (ECR, RDS, ECS, ALB, EC2, etc.)
Linux, Docker, CI/CD, GitLab
Terraform, Shell Scripting",,"Full Stack Developer (Python,React js)",Bachelor/Honors,3 to 7 years,3.0,,,False,0.1601,0.1601,1.0,1.0,0.0,0.0577,0.064,0.3861
"Skilled Machine Learning and Deep Learning practitioner, and I have worked on Computer vision-based projects. On the lookout for opportunities that help me understand more about the domain.",computer vision; deep learning; image processing; image segmentation; machine learning; opencv; pattern recognition; pillow; python; ruby,['JT University'],B.Tech(Computers),Computers,['Brane Enterprises Pvt LTD'],Jan 2020,Ongoing,0.0,Computer Vision Engineer,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,0.6225,1.0,0.0,0.0,0.0,0.2434
,automation; budget; clients; computer literate; contracts; cost reduction; cpus; database software; documentation; electrical systems; energy manager; facility management; hvac; hydraulics; inspection; inspector; interpersonal; laundry; leadership; legal; machinery; mechanical; meetings; msa; navy; nec; optimization; plc; plc programming; plumbing; processes; procurement; project management; quality; quality assurance; radiography; real estate; repairing; repairs; safety; strategic; strategic plans; supervision; team leader; technical support; troubleshooting; upgrade; weld; welding; written communication skills,,,,"['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",01/2008; 07/2007; 10/2001; 11/1999; 01/1996,Current; 12/2007; 05/2007; 08/2001; 10/1999,0.0,Facilities Engineering Manager; Field Engineering Supervisor; Chief Plant Engineer; Nuclear Inspector; Submariner,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,0.6225,0.2,0.0,0.0,0.0,0.1234
Collaborative computer science graduate. Eager to secure an internship using my experience with natural language processing and building web apps for non-technical users to further the mission of Coursera in democratizing education across the world.,git; html/ css; javascript angular; python django; rest apis graphql; sql postgresql oracle,['University of Texas'],B.S.,Computer Science,"['University of Texas Help Desk', 'UT Computer Science Institute']",January 2018; April 2015,May 2021; January 2018,6.08,Technician; Research Assistant,"Apparel Sourcing
Quality Garment Sourcing
Reliable Partner
Buyer/Vendor Communication",,Business Development Executive,Bachelor/Honors,1 to 3 years,1.0,fast typing skill; ieltsinternet browsing online work ability.,Age 22 to 30 years,True,0.0,0.0,0.9986,0.2,0.0,0.0,0.0,0.1798
,2000; accounting; apple computers; asset management; automation; basic; blueprints; budget; budgets; c; ca; client; concept; contracts; database; dc; delivery; design and construction; directing; electrical systems; electronics; equipment installation; filling; fire protection; food safety; hammer; hardware; hvac; instruction; inventory control; inventory management; labor relations; layout; logic; logistics; machinery; maintenance schedules; manufacturing processes; materials; mechanical; microsoft access; microsoft nt server; microsoft windows nt server; microwave; nec; network; networks; novell; personnel; phones; plc; plc programming; plumbing; power distribution; process control; process engineering; programming; quality; quality control; radio; record keeping; repairing; repairs; safety; safety codes; scada; siemens plc; staffing; supervising; supervision; surveys; technical support; transmission; troubleshooting; uhf; utilities; validation; vhf; view; water quality; wonderware; written,"['N/A', 'Yuba Community College', 'Butte College', 'Elk Creek High School']",Certificate of Completion; Select One; NEEC Building Operator Certification; High School Diploma,"AIB - HACCP Online Course - Haccp/Food Safety; Business Management; Basic Electronics, Drafting","['Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name', 'Company Name']",02/2013; 05/2008; 05/2005; 04/2004; 01/1996; 04/1995; 08/1991; 02/1987,08/2015; 02/2013; 05/2008; 05/2005; 04/2004; 12/1995; 04/1995; 04/1991,0.0,Engineering Services Manager; Electrical Superintendent; Project Manager; Facility Supervisor; Maintenance Manager/Safety & Environmental Manager; Maintenance Technician; Electrician; Microwave Communications Technician,"Relationship Building
HR Collaboration
Policy Development
Training Management
Record Keeping
Compliance
Employee Development
Policy Enforcement
Communication
Task Execution",,HR Officer,"•Bachelor of Business Administration (BBA) in Human Resource Management
•BBA/MBA in HRM/Management from any reputed university.",,1.0,human resource management,Age 18 to 30 years,True,0.3333,1.0,0.6225,0.5,0.0,0.0303,0.0357,0.4717
